City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia
Kuala Lumpur,OSM,piligab,Shopping,Berjaya Times Square,时代广场,https://batpad.github.io/quick-geocode/?name=Berjaya%20Times%20Square&city=Kuala%20Lumpur,"https://www.google.com/maps/search/Berjaya+Times+Square,+Kuala+Lumpur/",way,190885802,,#N/A,overpass,101.7106611,3.1422286,,,,en:Berjaya Times Square
Kuala Lumpur,OSM,piligab,Shopping,Pavilion KL,吉隆坡购物中心,https://batpad.github.io/quick-geocode/?name=Pavilion%20KL&city=Kuala%20Lumpur,"https://www.google.com/maps/search/Pavilion+KL,+Kuala+Lumpur/",way,28271276,,#N/A,google,,,,,,en:Pavilion Kuala Lumpur
Kuala Lumpur,OSM,piligab,Shopping,SURIA KLCC,阳光广场,https://batpad.github.io/quick-geocode/?name=SURIA%20KLCC&city=Kuala%20Lumpur,"https://www.google.com/maps/search/SURIA+KLCC,+Kuala+Lumpur/",way,23034336,,#N/A,overpass,101.7121988,3.1573747,,,,en:Suria KLCC
Kuala Lumpur,OSM,danny,Tourism,Batu Caves,黑风洞,https://batpad.github.io/quick-geocode/?name=Batu%20Caves&city=Kuala%20Lumpur,"https://www.google.com/maps/search/Batu+Caves,+Kuala+Lumpur/",node,1686561043,,#N/A,google,,,,,Q687629,en:Batu Caves
Kuala Lumpur,OSM,danny,Tourism,Menara Telekom,马来西亚电讯大厦,https://batpad.github.io/quick-geocode/?name=Menara%20Telekom&city=Kuala%20Lumpur,"https://www.google.com/maps/search/Menara+Telekom,+Kuala+Lumpur/",way,154443873,,#N/A,overpass,101.6657581,3.1161923,,,Q118214,
Kuala Lumpur,OSM,danny,Tourism,National Archives of Malaysia,马来西亚国家档案馆,https://batpad.github.io/quick-geocode/?name=National%20Archives%20of%20Malaysia&city=Kuala%20Lumpur,"https://www.google.com/maps/search/National+Archives+of+Malaysia,+Kuala+Lumpur/",way,323394984,"https://www.google.com/maps/place/National+Museum+of+Malaysia/@3.157507,101.6816228,14z/data=!4m8!1m2!2m1!1sNational+Archives+of+Malaysia,+Kuala+Lumpur!3m4!1s0x0:0x7a53ea764838b90b!8m2!3d3.1379558!4d101.6871142",http://www.openstreetmap.org/?mlat=3.1379558&mlon=101.6871142#map=18/3.157507/101.6816228&layers=D14z/data=!4m8!1m2!2m1!1sNational+Archives+of+Malaysia&layers=D,google,,,,,Q917630,en:National Museum (Malaysia)
Kuala Lumpur,OSM,danny,Tourism,National Art Gallery,马来西亚国家美术馆,https://batpad.github.io/quick-geocode/?name=National%20Art%20Gallery&city=Kuala%20Lumpur,"https://www.google.com/maps/search/National+Art+Gallery,+Kuala+Lumpur/",way,428954061,,#N/A,google,,,,,,en:National Visual Arts Gallery (Malaysia)
Kuala Lumpur,OSM,danny,Tourism,National Mosque,国家清真寺,https://batpad.github.io/quick-geocode/?name=National%20Mosque&city=Kuala%20Lumpur,"https://www.google.com/maps/search/National+Mosque,+Kuala+Lumpur/",way,23768627,,#N/A,overpass,101.6916529,3.1419833,,,,en:National Mosque of Malaysia
Kuala Lumpur,OSM,danny,Tourism,National Planetarium,马来西亚国家天文馆,https://batpad.github.io/quick-geocode/?name=National%20Planetarium&city=Kuala%20Lumpur,"https://www.google.com/maps/search/National+Planetarium,+Kuala+Lumpur/",way,148960134,,#N/A,overpass,101.6890873,3.1395059,,,Q924297,en:Planetarium Negara
Kuala Lumpur,OSM,danny,Tourism,Royal Malaysia Police Museum,马来西亚皇家警察博物馆,https://batpad.github.io/quick-geocode/?name=Royal%20Malaysia%20Police%20Museum&city=Kuala%20Lumpur,"https://www.google.com/maps/search/Royal+Malaysia+Police+Museum,+Kuala+Lumpur/",node,4329258589,,#N/A,overpass,101.6889136,3.1409386,,,Q3015254,en:Royal Malaysian Police Museum
Kuala Lumpur,OSM,danny,Tourism,St Mary church,圣玛丽教堂,https://batpad.github.io/quick-geocode/?name=St%20Mary%20church&city=Kuala%20Lumpur,"https://www.google.com/maps/search/St+Mary+church,+Kuala+Lumpur/",way,376490832,,#N/A,google,,,,,,"en:St. Mary's Cathedral, Kuala Lumpur"
Kyoto,OSM,ramya,Tourism,Kinkaku-ji,金阁寺,https://batpad.github.io/quick-geocode/?name=Kinkaku-ji&city=Kyoto,"https://www.google.com/maps/search/Kinkaku-ji,+Kyoto/",way,98115917,,#N/A,quick-geocode,,,,,,ja:鹿苑寺
Kyoto,OSM,ramya,Tourism,Kiyomizu-dera Temple,清水寺,https://batpad.github.io/quick-geocode/?name=Kiyomizu-dera%20Temple&city=Kyoto,"https://www.google.com/maps/search/Kiyomizu-dera+Temple,+Kyoto/",way,336641107,,#N/A,quick-geocode,,,,,,ja:清水寺
Kyoto,OSM,ramya,Tourism,Nara Prefectural Museum of Art,奈良县立美术馆,https://batpad.github.io/quick-geocode/?name=Nara%20Prefectural%20Museum%20of%20Art&city=Kyoto,"https://www.google.com/maps/search/Nara+Prefectural+Museum+of+Art,+Kyoto/",way,127496799,,#N/A,osm-nominatim,,,,,,ja:奈良県立美術館
