@type,@id,name,name:en,osm:wikipedia,osm:wikidata,wiki:logs,wiki:wikidata,wiki:label:en,wiki:wikipedia:en,wiki:Distance,wiki:label:zh,wiki:label:zh-hans,wiki:label:zh-cn,wiki:label:zh-hant,wiki:label:zh-hk,wiki:label:zh-tw,wiki:label:hi,wiki:label:es,wiki:label:fr,wiki:label:de,wiki:label:ja,wiki:label:ko,wiki:label:ru,wiki:label:pt,wiki:label:ar
node,2613117002,Majalengka,,en:Majalengka,Q887467,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,de Present,ja Present,No ko label,No ru label,No pt label,ar Present,",,Majalengka,Majalengka,,,,,,,,,,Majalengka,Majalengka,マジャレンカ,,,,ماجالينغكا
node,2142261809,Cirebon,Cirebon,en:Cirebon,Q10395,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Cirebon,Cirebon,,井裡汶,井里汶,,,,,,Cirebon,Cirebon,Cirebon,チルボン,치르본,Чиребон,Cirebon,سيريبون
node,2401281742,Indramayu,,en:Indramayu,,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,de Present,ja Present,No ko label,No ru label,No pt label,ar Present,",Q838033,Indramayu,Indramayu,,,,,,,,,,Indramayu,Indramayu,インドラマユ,,,,إندرامايو
node,275794327,Tegal,Tegal,"en:Tegal, Central Java",Q11027,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Tegal,"Tegal, Central Java",,直葛,,,,,,,Tegal,Tegal,Tegal,テガル,테갈,Тегал,Tegal,تيغال
node,275793470,Pemalang,,,Q10624,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,No ru label,pt Present,No ar label,",,Pemalang,Pemalang Regency,,,,,,,,,Pemalang,kabupaten Pemalang,Pemalang,プマラン県,,,Pemalang,
node,275793445,Pekalongan,,en:Pekalongan,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q11026,Pekalongan,Pekalongan,,北加浪岸,,,,,,,Pekalongan,Pekalongan,Pekalongan,ペカロンガン,프칼롱안,Пекалонган,Pekalongan,بيكالونغان
node,275792450,Kendal,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,256555232,Semarang,Semarang,,Q11025,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Semarang,Semarang,,三寶瓏,三宝垄,,,,,,Semarang,Semarang,Semarang,スマラン,스마랑,Семаранг,Semarang,سيمارانج
node,262265672,Demak,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,1811389215,Jepara,,,Q10615,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,No ru label,pt Present,No ar label,",,Jepara,Jepara Regency,,,,,,,,,Jepara,kabupaten Jepara,Jepara,ジュパラ県,,,Jepara,
node,1308712305,Purwodadi,,"id:Purwodadi, Grobogan",Q2456021,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,de Present,No ja label,No ko label,No ru label,No pt label,No ar label,",,Purwodadi,Purwodadi Grobogan,,,,,,,,,,Purwodadi,Purwodadi,,,,,
node,262265665,Kudus,,,Q10620,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,No ru label,pt Present,ar Present,",,Kudus,Kudus Regency,,古突士,,,,,,,Kudus,Kudus,Kudus,クドゥス県,,,Kudus,مقاطعة القدس
node,262265716,Pati,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,450552097,Blora,,,Q10608,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,pt Present,ar Present,",,Blora,Blora Regency,,,,,,,,,Blora,kabupaten de Blora,Blora,ブロラ県,,Блора,Blora,بلورا
node,262266254,Rembang,,,Q10684,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,No ru label,pt Present,No ar label,",,Rembang,Rembang Regency,,,,,,,,,Rembang,kabupaten de Rembang,Rembang,レンバン県,,,Rembang,
node,3688951830,Lunyuk,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,429157244,Negara,Negara,"en:Negara, Bali",,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,No ja label,No ko label,No ru label,No pt label,ar Present,",Q2657710,Negara,"Negara, Bali",,,,,,,,,Negara,Negara,Negara,,,,,نيغارا بالي
node,274113797,Denpasar,Denpasar,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,428813972,Tabanan,,,Q11505,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,No pt label,ar Present,",,Tabanan Regency,Tabanan Regency,,塔巴南,,,,,,,Tabanan,kabupaten de Tabanan,Tabanan,タバナン県,,Табанан,,تابانان
node,1308686585,Gianyar,,,Q11496,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,No pt label,ar Present,",,Gianyar,Gianyar Regency,,吉安雅,,,,,,,Gianyar,kabupaten de Gianyar,Gianyar,ギャニャール県,,Гианьяр,,غيانيار ريغينسي
node,314936121,Semarapura,,en:Semarapura,Q7449126,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,No de label,ja Present,No ko label,No ru label,No pt label,ar Present,",,Semarapura,Semarapura,,,,,,,,,,Semarapura,,スマラプラ,,,,سيمارابورا
node,430263239,Amlapura,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,2571002742,Singaraja,,,Q1013537,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,hi Present,es Present,fr Present,de Present,ja Present,No ko label,ru Present,No pt label,ar Present,",,Singaraja,Singaraja,,,,,,,,सिंहराज,Singaraja,Singaraja,Singaraja,シガラジャ,,Сингараджа,,سنغاراجا
node,4185230389,Gerung,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,4185230390,Lombok Barat,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,413451054,Kota Mataram,Mataram,en:Mataram (city),,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q14126,Mataram,Mataram (city),,馬塔蘭,,,,,,,Mataram,Mataram,Mataram,マタラム,마타람,Матарам,Mataram,ماتارام
node,1271859023,Praya,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,4185220504,Lombok Tengah,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,1231918006,Selong,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,4243966724,Lombok Utara,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,3772923085,Sumbawa Barat,,,Q14124,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,No ru label,No pt label,No ar label,",,Sumbawa Barat,West Sumbawa Regency,,,,,,,,,Sumbawa Occidental,kabupaten de Sumbawa occidental,Kabupaten Sumbawa Barat,西スンバワ県,,,,
node,1827675410,Sumbawa Besar,,en:Sumbawa Besar,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,No fr label,de Present,ja Present,No ko label,No ru label,No pt label,No ar label,",Q6271142,Sumbawa Besar,Sumbawa Besar,,三巴望博沙,,,,,,,,,Sumbawa Besar,スンバワ・ベサル,,,,
node,3691377730,Plampang,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,1433540598,Waingapu,,en:Waingapu,,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,de Present,ja Present,No ko label,No ru label,No pt label,No ar label,",Q781361,Kota Waingapu,Waingapu,,,,,,,,,,Waingapu,Waingapu,ワインガプ,,,,
node,1648071679,Kecamatan Parado,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,491068261,Dompu,Dompu,,Q4194093,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,de Present,ja Present,No ko label,No ru label,No pt label,No ar label,",,Dompu,Dompu,,冬坡,,,,,,,,Dompu,Dompu,ドンプ,,,,
node,2334187738,Kecamatan Madapangga,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,3621242703,Kabupaten Bima,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
